K_DECTOP,LIB_CODE,LIB_NAME,LIB_ADDR,LIB_CITY,LIB_ZIP,LIB_ZIP4,LIB_PHONE,LIB_CNTY,C_OUT_TYP,C_MSA,C_SER_POP,LIB_NUM_BM,K_SEQ,STABR,PUB_FIPS,YR
WV0004,004B,GALLAHER VILLAGE,368 NORWAY AVE,HUNTINGTON,25705,  -1,3045234207,Cabell,BR,CC,B,0,004,WV,54,93
WV0004,004C,SALT ROCK,RFS #1,SALT ROCK,25559,  -1,3047361956,Cabell,BR,CC,B,0,005,WV,54,93
WV0004,004D,WEST HUNTINGTON,428 WEST 14TH ST.,HUNTINGTON,25704,  -1,3045252181,Cabell,BR,NC,B,0,006,WV,54,93
WV0004,004E,MILTON,1140 SMITH ST.,MILTON,25541,  -1,3047436711,Cabell,BR,CC,B,0,007,WV,54,93
WV0004,004G,GUYANDOTTE,203 RICHMOND ST.,HUNTINGTON,25702,  -1,3045228161,Cabell,BR,CC,B,0,008,WV,54,93
WV0005,005A,GILBERT,PO BOX 266,GILBERT,25621,  -1,3046648886,Mingo,BR,NO,A,0,003,WV,54,93
WV0005,005B,KERMIT,                                 -1,KERMIT,25674,  -1,3043934553,Mingo,BR,NO,A,0,004,WV,54,93
WV0005,005C,MATEWAN,BOX 111,MATEWAN,25678,  -1,3044266306,Mingo,BR,NO,A,0,005,WV,54,93
WV0007,007A,HURRICANE,410 MIDLAND TRAIL,HURRICANE,25526,  -1,3045626711,Putnam,BR,NC,C,0,003,WV,54,93
WV0007,007B,BUFFALO,                                 -1,BUFFALO,25033,  -1,        -1,Putnam,BR,NC,B,0,004,WV,54,93
WV0007,007C,ELEANOR,ELEANOR CIRCLE/PO BOX #459,ELEANOR,25070,  -1,3045864295,Putnam,BR,NC,B,0,005,WV,54,93
WV0007,007D,POCA,                                 -1,POCA,25159,  -1,        -1,Putnam,BR,NC,B,0,006,WV,54,93
WV0008,008A,WAYNE,BOX 567,WAYNE,25570,  -1,3042723756,Wayne,BR,NC,C,0,003,WV,54,93
WV0008,008B,FORT GAY,PO BOX 457,FT GAY,25514,  -1,3046485338,Wayne,BR,NC,C,0,004,WV,54,93
WV0009,009A,CROSS LANES,5451 BIG TYLER ROAD,CROSS LANES,25313,  -1,3047765999,Kanawha,BR,NC,D,0,003,WV,54,93
WV0009,009B,CLENDENIN,301 TWELFTH ST MALL,DUNBAR,25064,  -1,3047667161,Kanawha,BR,NC,C,0,004,WV,54,93
WV0009,009C,ELK VALLEY,4636 PENNYSLVANIA A,CHARLESTON,25302,  -1,3049653636,Kanawha,BR,NC,C,0,005,WV,54,93
WV0009,009D,DUNBAR,129 4TH AV PO 317,GLASGOW,25086,  -1,3049496628,Kanawha,BR,NC,D,0,006,WV,54,93
WV0009,009E,GLASGOW,9303 OREGON AVE,MARMET,25315,  -1,3049496628,Kanawha,BR,NC,C,0,007,WV,54,93
WV0009,009F,MARMET,6TH AV AND 4TH ST,ST ALBANS,25177,  -1,3047224244,Kanawha,BR,NC,B,0,008,WV,54,93
WV0009,009G,ST. ALBANS,601 CLEARVIEW HGHTS,SISSONVILLE,25312,  -1,3049842244,Kanawha,BR,NC,D,0,009,WV,54,93
WV0009,009H,SISSONVILLE,PO BOX 939,CLENDENIN,25045,  -1,3045486370,Kanawha,BR,NC,B,0,010,WV,54,93
WV0014,013A,WALTON,PO BOX 217,WALTON,25286,  -1,3045776071,Roane,BR,NO,A,0,003,WV,54,93
WV0017,016A,CENTER POINT,GENERAL DELIVERY,CENTER POINT,26339,  -1,3047822461,Doddridge,BR,NO,A,0,003,WV,54,93
WV0018,017A,PENNSBORO,411 MAIN ST,PENNSBORO,26415,  -1,3046592197,Ritchie,BR,NO,A,0,003,WV,54,93
WV0020,019A,WILLIAMSTOWN,1713 BLIZZARD DR,PARKERSBURG,26101,  -1,3044287041,Wood,BR,NC,C,0,003,WV,54,93
WV0020,019B,PARKERSBURG SOUTH,201 WEST 5TH ST,WILLIAMSTOWN,26187,  -1,3043756052,Wood,BR,CC,B,0,004,WV,54,93
WV0023,022A,BROWNS HALLECK,"RT 9, BOX 141C",MORGANTOWN,26505,  -1,3042910703,Monongalia,BR,NO,C,0,003,WV,54,93
WV0023,022B,CHEAT AREA,"RT 7, BOX 153A",MORGANTOWN,26505,  -1,3045941020,Monongalia,BR,NO,D,0,004,WV,54,93
WV0023,022C,CLAY BATTELLE,"ROUTE #7, BOX #68",BLACKSVILLE,26521,  -1,3044328531,Monongalia,BR,NO,D,0,005,WV,54,93
