POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,ELMATEXP,ELACCEXP,ELMATS,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32,IMP33,IMP34,IMP35
519068,111,18,8,34.68,115.5,173.7,289.2,10622262,0,38524,863998,11524784,5785358,1152528,6937886,1750854,1887063,10575803,433094,2539091,49492,38627,5705,182837,2648512,306291,4827303,20186,42507,1802902,149504,44459,325960,642,519068,696004,01/97,12/97,SD,46,98,04, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
8418313,142,144,16,268,540.03,997.2,1537.23,49550989,6091446,1642299,5807673,63092407,31505574,5868921,37374495,8401768,14262046,60038309,8169614,8185705,234367,193950,18667,586858,14812256,4340199,20899839,40960,37667,6722607,593471,759031,1264054,11468,5253231,5256231,07/96,06/97,TN,47,98,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1
17666994,511,265,20,1326.38,1824.53,3785.85,5610.38,218118609,266034,1629469,10931692,230945804,121236301,29247092,150483393,36110588,40974437,227568418,26693578,35182092,1160487,631820,76358,1589113,50029117,17725697,77103995,190913,234181,27898991,2658314,2562186,5519822,99060,17666994,19128261,01/96,12/97,TX,48,98,06, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1
2006043,51,49,26,130.99,240.55,603.75,844.3,37864906,1117586,348352,3681571,43012415,20828394,6488718,27317112,8290932,7274061,42882105,3577640,5300867,240794,130286,11279,244146,8655582,2377799,18075694,12600,21996,7661308,257806,184171,1228546,7765,2006043,2006043,07/96,12/97,UT,49,98,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1
6665339,82,229,37,684.69,820.08,2195.87,3015.95,126770677,13891306,1161055,9517810,151340848,79309929,16447000,95756929,22863362,28027768,146648059,8552374,16892712,616647,290793,42134,830171,30399957,6425752,50416698,65052,78719,17642025,1129641,1189675,1926808,7788,6665339,6733996,07/96,06/97,VA,51,98,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1
603037,196,2,0,39.32,142.37,114.32,256.69,7386260,22236,12186,3517334,10938016,5309351,904255,6213606,1630839,2255434,10099879,1146280,2819631,54017,33674,7565,224752,2540669,384437,3892936,18289,51749,1630097,119066,48708,190672,2844,525000,576000,01/96,06/97,VT,50,98,01, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
5408409,59,252,21,649.1,701.74,2019.09,2720.83,172637399,1458273,730693,9127237,183953602,90863171,23554709,114417880,24214395,29573892,168206167,13295204,15601901,813143,490611,47044,645437,18201808,6854831,54909618,150119,153035,16577931,767508,1421850,4729734,14128,5406198,5606800,01/97,12/97,WA,53,98,08, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
5192298,378,77,13,584.43,1111.43,1603.98,2715.41,118546296,4761125,737049,8373995,132418465,67547322,21129749,88677071,19843295,20517967,129038333,17278582,17557957,631431,490788,53339,952494,28158703,6092104,47614668,1542512,1499980,18549630,1080789,1098821,3022375,15684,5192298,5192298,01/97,12/97,WI,55,98,03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1
1793477,96,77,9,73.31,205.63,339.53,545.16,13285095,6614690,251412,1850811,22002008,10145704,2499902,12645606,3380037,4402588,20428231,1514994,4841214,121424,79939,7681,349974,5692274,1519888,9469184,33163,42597,3198772,238596,96028,303545,3498,1793477,1793477,07/96,06/97,WV,54,98,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0
491860,23,51,4,30.75,156.45,167.79,324.24,10774892,30460,95606,737013,11637971,6281305,1717748,7999053,1407625,2299666,11706344,313827,2299685,64162,41783,14963,121514,2359261,399462,3774845,18687,23013,1300132,136079,58157,301994,2919,491860,491860,07/96,06/97,WY,56,98,07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
