POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,ELMATEXP,ELACCEXP,ELMATS,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,FILLER,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31
7213207,52,314,45,606.6,645.35,1871.01,2516.36,73932399,22076899,1689664,5260733,102959695,53484602,15372223,68856825,14681130,20823021,104360976,8152138,13289905,439700,195065,30046,858197,20409075,4708817,32357882,15871,30505,11349639,859990,-1,-1,-1,7213207,7213207,07/94,06/95,GA,13,96,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1,, 1, 1, 0, 0, 0, 1, 1
1171600,1,48,6,179,179,435.05,614.05,0,21149921,652021,1139803,22941745,16260038,0,16260038,2733044,4372909,23365991,0,3502155,134434,33135,5602,108160,3188750,2100000,7499485,774,96,2341821,125798,97760,13800,1,1171600,1171600,07/94,06/95,HI,15,96,08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 2, 2
2926950,527,27,6,223.16,755.7,635.47,1393.09,46622506,1181906,354367,3444143,51602922,26579501,5013226,31592727,8288706,10244419,50125852,8625025,11406891,324756,195053,36643,825795,13981242,2160928,25126944,117512,121377,9146258,739942,309038,50611,2249,2829000,2829000,07/94,06/95,IA,19,96,04, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
988877,103,38,5,48.57,156.7,280.86,437.56,14058046,740745,391589,1970423,17160803,7936280,2203052,10139332,2336202,3937488,16413022,941561,3145411,64882,45562,8543,230297,4673912,847025,7546237,22796,35647,3120735,241077,-1,-1,-1,961469,1163261,10/94,09/95,ID,16,96,07, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
10320522,613,159,29,1476.08,2281.72,4299.73,6581.17,302723493,28032912,2501482,36868440,370126327,170070490,34981071,205051561,47679439,61599988,314330988,69764190,36803425,1506847,594542,121464,1830112,55095103,14516186,79081879,898102,924729,31849651,2102820,-1,13591336,-1,10320522,10320522,07/94,06/95,IL,17,96,03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1,, 1, 1, 0, 1, 1, 1, 1
5300609,238,189,43,741.9,1001.49,2540.81,3542,141040132,16273357,1581184,10097461,168992134,75829026,15483955,91312981,27750235,39887885,158951101,22232320,21068635,906919,517177,57902,1056237,27280069,5408388,52808034,86447,107078,18031832,1312716,1825541,4046610,17931,5174337,5544159,01/95,12/95,IN,18,96,03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0,, 1, 1, 1, 1, 1, 1, 0
2082640,324,48,6,205.9,754.3,1076.3,1858.6,43331626,1790270,753279,7930211,53805386,24160925,4411319,28572244,8835427,12164651,49572322,16539256,9275794,245874,180950,23227,600321,10667902,2700155,19391247,186485,157958,7212659,479963,275718,236226,13730,2082640,2559343,01/95,12/95,KS,20,96,04, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
3651328,116,72,103,120.95,643.25,547.64,1190.9,40055469,4092245,404206,4972941,49524861,20957806,4624058,25581864,6925721,12112586,44620171,5713893,7383924,142907,83903,14968,555508,10299766,1323239,19525163,21570,41289,4583028,470676,0,0,0,3651328,3685296,07/94,06/95,KY,21,96,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 0, 0, 0, 0, 0, 0, 0
4351193,65,257,35,293.93,707.56,1079.18,1786.74,58058437,4200037,483686,4810029,67552189,30982072,7054646,38036718,8489256,17663046,64189020,16665107,9951198,123320,130640,28455,661217,11021376,2864433,18682170,49481,81188,6045767,605410,106659,1260148,1966,4339352,4339352,01/95,12/95,LA,22,96,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,, 1, 0, 0, 0, 0, 0, 0
6083471,372,119,11,955.01,1435.03,1917.35,3352.38,118929716,18079953,497655,8556540,146063864,94086495,1891614,95978109,26112395,21055019,143145523,16771471,28746970,1045313,307317,72876,884222,26146080,4590954,43735715,753069,771790,16465938,1069620,-1,-1,-1,6040116,6041187,07/94,06/95,MA,25,96,01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,, 1, 1, 1, 1, 1, 1, 1
