POPU,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIAN,OTHPAID,TOTPEMP,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,TOTEXP,TOTEXPCOL,OTHOPEXP,TOTOPEXP1,CAPITAL,BKVOL,AUDIO,VIDEO,SUBSCRIPT,DUPLI,ATTEND,REFERENCE,TOTCIR,LOANTO,LOANFM,KIDCIRCL,KIDATTEND,ELMATEXP,ELACCEXP,ELMATS,PERIOD_POP,PERIOD_EST,PERIOD_PSM,PERIOD_PEM,STABR,PUB_FIPS,YR,OBEREG,IMP0,IMP1,IMP2,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,IMP12,IMP13,IMP14,IMP15,IMP16,IMP17,IMP18,IMP19,IMP20,IMP21,IMP22,IMP23,IMP24,IMP25,IMP26,IMP27,IMP28,IMP29,IMP30,IMP31,IMP32
7251139,53,318,45,611.94,649.13,1869,2518.13,73592611,22504708,1487470,5768038,103352827,54736147,15487128,70223275,14663405,18301449,103188129,9596183,13498255,399615,226830,27836,865640,19830829,5516243,32934759,18501,34518,11273111,973304,1095353,1268757,30408,7213207,7213207,07/95,06/96,GA,13,97,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0
1183723,1,48,6,159,159,353.05,512.05,0,19907077,666933,1057105,21631115,14650179,0,14650179,2037584,3910144,20597907,0,3553170,134434,33135,5602,135044,3429113,797744,7374583,34,127,2355865,135281,97760,13800,-1,1183723,1183723,07/95,06/96,HI,15,97,08, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0
2927465,529,27,6,220.29,747.02,701.41,1448.43,48719871,1324615,72877,4080435,54197798,27172454,5651631,32824085,9172885,10785450,52782420,18156993,11392814,336859,224965,37482,858223,14123036,2235968,25079723,107585,103183,9059207,710497,370903,1486618,13760,2842000,2842000,07/95,06/96,IA,19,97,04, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
1013721,104,37,5,48.75,157.52,294.46,451.98,14977953,719942,161780,2722104,18581779,8622440,2424655,11047095,2428467,4261417,17736979,1934013,3219152,64803,54211,9004,238402,5061425,872592,7703039,23474,35149,3176429,266533,171414,289575,2552,994721,1189251,10/95,09/96,ID,16,97,07, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
10449637,617,161,28,1521.85,2345.03,4390.61,6735.64,310526292,30983764,3158772,39067860,383736688,182565121,36144257,218709378,50572733,59549838,328831949,74708941,38885626,1559212,718725,120596,1840105,54776926,15043094,80815308,1023345,1024703,32294983,2101205,3229742,11132820,175636,10449637,10449637,01/95,06/96,IL,17,97,03, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
5200627,238,187,43,783.05,1151.05,2690.3,3841.35,152413570,15975437,894390,10509199,179792596,79815759,16630748,96446507,30061217,44728328,171236052,26272149,21530596,963742,582267,63153,1049859,28488043,8059075,53131515,87270,101398,18547326,1338569,2599840,7327735,22934,5074355,5544159,01/96,12/96,IN,18,97,03, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0
2098983,324,50,6,150.33,303.85,1025.65,1329.5,42943990,1658774,855289,7886259,53344312,26036205,4807866,30844071,8795903,8993895,48633869,5961232,9589238,233913,210313,25657,624688,11370435,2821938,20249282,192425,177741,7651512,439141,539232,1239513,10845,2098983,2559343,01/96,12/96,KS,20,97,04, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
3651328,116,70,97,137.46,623.93,639.52,1263.45,44276015,3890791,664394,6110413,54941613,22431355,4917236,27348591,7870922,20288403,55507916,7211162,7506258,159721,104176,15065,584526,10811726,1769276,19526948,21756,42854,4406945,517863,288886,1387438,1753,3651328,3685296,07/95,06/96,KY,21,97,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4362574,65,259,35,292.29,722.36,1090.62,1812.98,67006126,4787208,358722,4883796,77035852,32687498,7088259,39775757,9508828,19956092,69240677,7432580,10144523,130725,152117,28328,661728,11368092,2951614,18662373,42613,86971,6014525,667530,140419,823382,3551,4350579,4350579,01/96,12/96,LA,22,97,05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0
6040116,370,118,12,981.3,1533.67,1933.5,3467.17,127903705,18249899,2259573,10320293,158733470,100962353,2324327,103286680,27564487,23418895,154270062,33769339,29053496,520732,361676,82684,908774,27150554,4860367,44327977,908663,948343,16662089,1133304,1053301,4436545,11663,6040116,6041187,07/95,06/96,MA,25,97,01, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
