K_DECTOP,LIB_CODE,LIB_NAME,LIB_ADDR,LIB_CITY,LIB_ZIP,LIB_ZIP4,LIB_PHONE,LIB_CNTY,C_OUT_TYP,C_MSA,C_SER_POP,LIB_NUM_BM,WEB_ADR,K_SEQ,STABR,PUB_FIPS,CNTYFIPS,YR
AL0001,100-000,Carl Elliott Regional Library,98 East 18th Street,Jasper,35501,5491,2052212568,Walker,BM,NC,G,0,-1,003,AL,01,127,98
AL0002,100-001,Arley Public Library,%Town Hall,Arley,35541,0146,2053870103,Winston,CE,NO,A,0,,002,AL,01,133,98
AL0003,100-002,Cordova Public Library,130 Main Street,Cordova,35550,5550,2054839578,Walker,CE,NC,C,0,,002,AL,01,127,98
AL0004,100-003,Dora Public Library,1485 Sharon Blvd,Dora,35062,0700,2056483211,Walker,CE,NC,B,0,,002,AL,01,127,98
AL0005,100-004,Double Springs Public Library,Blake Drive,Double Springs,35553,0555,2054892412,Winston,CE,NO,B,0,,002,AL,01,133,98
AL0006,100-005,Haleyville Public Library,913 20th Street,Haleyville,35565,1323,2054867450,Winston,CE,NO,C,0,,002,AL,01,133,98
AL0007,100-006,Jasper Public Library,98 East 18th Street,Jasper,35501,5491,2052218512,Walker,CE,NC,E,0,,002,AL,01,127,98
AL0009,100-008,Sumiton Public Library,State Street,Sumiton,35148,0010,2056487451,Walker,CE,NC,C,0,,002,AL,01,127,98
AL0010,101-000,Cheaha Regional Library,935 Coleman Street,Heflin,36264,1313,2564637125,Cleburne,BS,NO,H,2,,002,AL,01,029,98
AL0011,101-001,Annie L. Awbrey Public Library,736 College Street,Roanoke,36274,1616,3348632632,Randolph,CE,NO,D,0,,002,AL,01,111,98
AL0012,101-002,Ashland City Public Library,"113 North 2nd Avenue, W",Ashland,36251,0296,2563543427,Clay,CE,NO,B,0,,002,AL,01,027,98
AL0013,999-028,B. B. Comer Memorial Library,314 North Broadway Avenue,Sylacauga,35150,2528,2562490961,Talladega,CE,NO,E,0,,002,AL,01,121,98
AL0014,101-004,Cherokee County Public Library,310 Mary Street,Centre,35960,2026,2569275838,Cherokee,CE,NO,E,0,,002,AL,01,019,98
AL0015,101-005,Earle A. Rainwater Memorial Library,112 Ninth Avenue SW,Childersburg,35044,1642,2563787239,Talladega,CE,NO,C,0,,002,AL,01,121,98
AL0016,101-006,Lincoln Public Library,49 Complex Drive,Lincoln,35096,5096,2057637244,Talladega,CE,NO,C,0,,002,AL,01,121,98
AL0017,101-007,Lineville Public Library,Main Street,Lineville,36266,0482,2563965162,Clay,CE,NO,B,0,,002,AL,01,027,98
AL0018,101-008,Lucile L. Morgan Public Library,541 Ross Street,Heflin,36264,0428,2564632259,Cleburne,CE,NO,C,0,,002,AL,01,029,98
AL0019,101-009,Oxford Public Library,213 Choccolocco Street,Oxford,36203,1617,2568311750,Calhoun,CE,NC,D,0,,002,AL,01,015,98
AL0020,999-070,Talladega Public Library,202 South Street E,Talladega,35160,2471,2563624211,Talladega,CE,NO,E,0,,002,AL,01,121,98
AL0022,999-033,Abbeville Memorial Library,301 Kirkland Street,Abbeville,36310,2419,3345852818,Henry,CE,NO,C,0,,002,AL,01,067,98
AL0023,999-075,Ariton Public Library,Main Street,Ariton,36311,9460,3347622463,Dale,CE,NC,A,0,,002,AL,01,045,98
AL0024,999-035,Blanche R. Solomon Memorial Library,Town Square,Headland,36345,1747,3346932706,Henry,CE,NO,C,0,,002,AL,01,067,98
AL0025,999-061,Tupper Lightfoot Memorial Library,164 South Main Street,Brundidge,36010,1809,3347352145,Pike,CE,NO,B,0,,002,AL,01,109,98
AL0026,999-079,Ozark-Dale Co. Public Library Inc.,320 James Street,Ozark,36360,2090,3347745480,Dale,CE,NC,E,0,,002,AL,01,045,98
AL0029,517-001,Elton B. Stephens Library,RR 1 Box 394A,Clio,36017,9216,3343972911,Barbour,CE,NO,B,0,,002,AL,01,005,98
AL0030,517-003,Louisville Public Library,"City Hall, Main Street",Louisville,36048,0125,3342665210,Barbour,CE,NO,A,0,,002,AL,01,005,98
AL0031,999-077,Mary Berry Brown Memorial Library,Hinton Waters Ave & 3rd Street,Midland City,36350,0713,3349833511,Dale,CE,NC,B,0,,002,AL,01,045,98
AL0032,999-078,Newton Public Library,203 Oates Street,Newton,36352,9588,3342993316,Dale,CE,NC,B,0,,002,AL,01,045,98
AL0033,517-004,Town and County Public Library,Midway Street,Clayton,36016,0518,3347753506,Barbour,CE,NO,B,0,,002,AL,01,005,98
AL0034,999-060,Troy Public Library,300 North Three Notch Street,Troy,36081,2022,3345661314,Pike,CE,NO,F,0,,002,AL,01,109,98
AL0035,999-058,Union Springs Public Library,103 North Prairie Street,Union Springs,36089,1616,3347382760,Bullock,CE,NO,E,0,,002,AL,01,011,98
AL0036,103-000,Cross Trails Regional Library,1604 North Main Street,Opp,36467,0770,3344939526,Covington,BM,NO,G,0,,003,AL,01,039,98
AL0037,103-001,Andalusia Public Library,212 South Three Notch Street,Andalusia,36420,3710,3342226612,Covington,CE,NO,E,0,,002,AL,01,039,98
AL0038,103-002,Brantley Public Library,10 Main Street,Brantley,36009,0013,3345278624,Crenshaw,CE,NO,B,0,,002,AL,01,041,98
AL0039,103-003,Elba Public Library,406 Simmons Street,Elba,36323,1759,3348976921,Coffee,CE,NO,C,0,,002,AL,01,031,98
AL0040,103-004,Emma Knox Kenan Public Library,312 South Commerce Street,Geneva,36340,0550,3346842459,Geneva,CE,NO,C,0,,002,AL,01,061,98
AL0041,103-005,Enterprise Public Library,101 East Grubbs Street,Enterprise,36330,2531,3343472636,Coffee,CE,NO,E,0,,002,AL,01,031,98
AL0042,103-006,Florala Public Library,510 North 4th Street,Florala,36442,1814,3348583525,Covington,CE,NO,B,0,,002,AL,01,039,98
AL0043,103-007,Hartford Public Library,203 West Main Street,Hartford,36344,1699,3345882384,Geneva,CE,NO,B,0,,002,AL,01,061,98
AL0044,103-008,Luverne Public Library,300 East Third Avenue,Luverne,36049,6049,3343355326,Crenshaw,CE,NO,C,0,,002,AL,01,041,98
AL0045,103-009,Opp Public Library,1604 North Main Street,Opp,36467,0717,3344936423,Covington,CE,NO,D,0,,002,AL,01,039,98
AL0046,103-010,Samson Public Library,200 North Johnson Street,Samson,36477,0126,3348987806,Geneva,CE,NO,B,0,,002,AL,01,061,98
AL0047,103-011,Slocomb Public Library,107 North Washington Street,Slocomb,36375,0330,3348869009,Geneva,CE,NO,B,0,,002,AL,01,061,98
AL0048,104-000,Horseshoe Bend Regional Library,207 North West Street,Dadeville,36853,1355,2058259232,Tallapoosa,BS,NO,G,1,,002,AL,01,123,98
AL0048,AL0048-006,HORSESHOE BEND REGIONAL BOOKMOBILE,207 NORTH WEST STREET,DADEVILLE,36853,1355,2568259232,TALLAPOOSA,BS,NO,E,1,,006,AL,01,123,98
